P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
0.0,0.5,0.286225825,3.204715535,560,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
0.5,1.0,0.69125053,3.0139003,1128,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
1.0,1.5,1.2703653,2.766644500000001,1406,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
1.5,2.0,1.7418356,2.683563199999999,1635,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
2.0,2.5,2.2477193,2.593816999999999,1511,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
2.5,3.0,2.74213325,2.4361611499999993,1364,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
3.0,3.5,3.2427397,2.3298297000000012,1273,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
3.5,4.0,3.7482,2.2994007999999977,1189,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
4.0,4.5,4.2529698499999995,2.2374119999999995,1204,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
4.5,5.0,4.74717525,2.1549309500000007,1166,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
5.0,5.5,5.236549,2.0922337000000004,1123,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
5.5,6.0,5.74803305,2.0599274999999997,996,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
6.0,6.5,6.2584233000000005,2.00814225,1016,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
6.5,7.0,6.7577796,1.9304496999999978,929,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
7.0,7.5,7.2272555999999994,1.851838249999998,854,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
7.5,8.0,7.7324166,1.7163914,661,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
8.0,8.5,8.1897615,1.55292925,344,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
8.5,10.0,8.607636,1.1521710000000045,95,3,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
0.0,0.5,0.14,0.14,8326,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
0.5,1.0,0.72719,0.72719,3344,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
1.0,1.5,1.2483499999999998,1.2483499999999998,2864,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
1.5,2.0,1.751,1.751,2653,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
2.0,2.5,2.24273,2.23938,2437,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
2.5,3.0,2.74295,2.7133000000000007,2251,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
3.0,3.5,3.24987,3.124,2147,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
3.5,4.0,3.754225,3.0915427150000006,2046,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
4.0,4.5,4.240240000000001,2.6837782,1969,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
4.5,5.0,4.743170000000001,2.6460004,1866,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
5.0,5.5,5.244509999999999,2.4896124,1729,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
5.5,6.0,5.728800000000001,2.4130552500000015,1428,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
6.0,6.5,6.249179999999999,2.2563569999999995,1365,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
6.5,7.0,6.75768,2.1846549999999993,1291,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
7.0,7.5,7.252834999999999,2.1407382999999998,1264,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
7.5,8.0,7.74446,2.148605,1179,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
8.0,8.5,8.24496,2.0225110000000015,1121,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
8.5,9.0,8.738255000000002,1.9772248000000014,1052,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
9.0,9.5,9.254729999999999,1.9507819999999967,1026,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
9.5,10.0,9.741559999999998,1.890973299999998,963,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
0.0,0.5,0.31410388499999997,2.6926604999999997,1220,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
0.5,1.0,0.8075055,2.6161921,2019,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
1.0,1.5,1.1697142,2.6786185000000007,981,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
1.5,2.0,1.7429679,2.4861020000000003,1584,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
2.0,2.5,2.2639465,2.4789500999999996,1473,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
2.5,3.0,2.746328,2.4481237,1445,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
3.0,3.5,3.24814,2.420237000000001,1319,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
3.5,4.0,3.758113,2.418026,1167,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
4.0,4.5,4.2502666,2.3886787,1191,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
4.5,5.0,4.748064149999999,2.3864539999999996,1158,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
5.0,5.5,5.2501973500000005,2.382091,1060,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
5.5,6.0,5.7650299,2.36133335,1028,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
6.0,6.5,6.24967485,2.348908500000002,1068,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
6.5,7.0,6.7406273,2.3109095999999996,1049,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
7.0,7.5,7.22502285,2.2379241499999996,884,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
7.5,8.0,7.6799029999999995,2.0141533499999964,476,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
8.0,8.5,8.137353,1.4430289999999992,111,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
8.5,10.0,8.806304,0.888897,43,3,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
0.0,0.5,0.002,0.002,28047,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
0.5,1.0,0.72321,0.72321,5377,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
1.0,1.5,1.243894,1.2437449999999999,4284,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
1.5,2.0,1.733454,1.72944,3289,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
2.0,2.5,2.2380500000000003,2.21369,2557,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
2.5,3.0,2.739463,2.6093485,2188,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
3.0,3.5,3.2443964999999997,2.68333269,2018,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
3.5,4.0,3.7458449999999996,2.7106258000000008,1790,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
4.0,4.5,4.24932,2.5224709,1589,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
4.5,5.0,4.745520000000001,2.4793883000000005,1559,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
5.0,5.5,5.247028499999999,2.4564978000000006,1474,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
5.5,6.0,5.741917999999999,2.4330996000000003,1373,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
6.0,6.5,6.2537705,2.42607805,1264,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
6.5,7.0,6.745749,2.3781494999999997,1176,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
7.0,7.5,7.259010000000002,2.3957663999999985,1128,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
7.5,8.0,7.750274000000001,2.404607600000002,1065,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
8.0,8.5,8.252597000000002,2.3436432,1124,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
8.5,9.0,8.747587,2.3263260000000017,1080,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
9.0,9.5,9.245465,2.32179345,1142,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
9.5,10.0,9.749925,2.3081814000000023,1037,1,0.5,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
0.0,0.5,0.27414814,3.81584292,70,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
0.5,1.0,0.8623848199999999,3.45767218,214,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
1.0,1.5,1.2370652,3.3735913999999996,476,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
1.5,2.0,1.7461981,3.3563884,550,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
2.0,2.5,2.2555227,3.3125740000000006,567,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
2.5,3.0,2.7312253,3.3383907000000006,471,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
3.0,3.5,3.23664575,3.31498225,420,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
3.5,4.0,3.742962,3.3246395999999994,423,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
4.0,4.5,4.2364297,3.31015,446,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
4.5,5.0,4.74501515,3.3062185,428,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
5.0,5.5,5.245195750000001,3.29488445,340,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
5.5,6.0,5.748328,3.302065700000001,315,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
6.0,6.5,6.2152944,3.3053990000000004,267,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
6.5,7.0,6.662753,3.0220675999999997,109,1,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
7.0,9.5,7.35166645,2.3930256500000002,56,5,0.5,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
0.0,0.5,0.159,0.159,3554,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
0.5,1.0,0.699,0.699,1513,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
1.0,1.5,1.2325,1.2325,814,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
1.5,2.0,1.7349999999999999,1.7349999999999999,614,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
2.0,2.5,2.255,2.255,508,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
2.5,3.0,2.761,2.761,498,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
3.0,3.5,3.24855,3.24855,644,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
3.5,4.0,3.74,3.676,587,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
4.0,4.5,4.241,3.4916091299999996,456,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
4.5,5.0,4.757,3.367241,515,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
5.0,5.5,5.2645,3.3413756,554,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
5.5,6.0,5.711,3.314038,533,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
6.0,6.5,6.230899999999999,3.3395644000000004,489,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
6.5,7.0,6.7379999999999995,3.3300928,414,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
7.0,7.5,7.252,3.318662,465,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
7.5,8.0,7.72,3.30572635,454,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
8.0,8.5,8.219,3.300039000000001,421,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
8.5,9.0,8.721,3.3342282999999995,297,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
9.0,9.5,9.253,3.3010146499999995,314,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
9.5,10.0,9.756,3.3627516999999996,320,1,0.5,20,WU,戊（WU）,B,FAN_eff,FAN_eff,10.0,10.0
